,index,seconds,minutes,dateTime,cli_temp,ser_vol,ser_cur,ser_pow,cli_vol,cli_cur,cli_pow,newIndex
37,483,483.685,8.0614166667,20220503 17:37:24,56.25,5,0.41,2.05,5,0.5,2.5,37
38,484,484.689,8.07815,20220503 17:37:25,56.25,5,0.41,2.05,5,0.5,2.5,38
39,485,485.689,8.0948166667,20220503 17:37:26,56.0,5,0.41,2.05,5,0.79,3.95,39
40,486,486.686,8.1114333333,20220503 17:37:27,56.5,5,0.41,2.05,5,0.77,3.85,40
41,487,487.689,8.12815,20220503 17:37:28,56.5,5,0.41,2.05,5,0.66,3.3,41
42,488,488.689,8.1448166667,20220503 17:37:29,57.0,5,0.44,2.2,5,0.78,3.9,42
43,629,629.685,10.49475,20220503 17:39:50,50.25,5,0.41,2.05,5,0.63,3.15,0
44,630,630.687,10.51145,20220503 17:39:51,50.25,5,0.49,2.45,5,0.46,2.3,1
45,631,631.687,10.5281166667,20220503 17:39:52,50.5,5,0.49,2.45,5,0.62,3.1,2
46,632,632.687,10.5447833333,20220503 17:39:53,51.0,5,0.46,2.3,5,0.77,3.85,3
47,633,633.687,10.56145,20220503 17:39:54,51.25,5,0.41,2.05,5,0.78,3.9,4
48,634,634.687,10.5781166667,20220503 17:39:55,52.0,5,0.41,2.05,5,0.72,3.6,5
49,635,635.688,10.5948,20220503 17:39:56,53.0,5,0.57,2.85,5,0.62,3.1,6
50,636,636.688,10.6114666667,20220503 17:39:57,53.5,5,0.49,2.45,5,0.71,3.55,7
51,637,637.689,10.62815,20220503 17:39:58,53.5,5,0.44,2.2,5,0.66,3.3,8
52,638,638.686,10.6447666667,20220503 17:39:59,53.75,5,0.46,2.3,5,0.86,4.3,9
53,639,639.688,10.6614666667,20220503 17:40:00,54.0,5,0.46,2.3,5,0.75,3.75,10
54,640,640.686,10.6781,20220503 17:40:01,54.5,5,0.44,2.2,5,0.41,2.05,11
55,641,641.689,10.6948166667,20220503 17:40:02,54.5,5,0.41,2.05,5,0.55,2.75,12
56,642,642.686,10.7114333333,20220503 17:40:03,54.0,5,0.47,2.35,5,0.66,3.3,13
57,643,643.684,10.7280666667,20220503 17:40:04,54.0,5,0.41,2.05,5,0.63,3.15,14
58,644,644.685,10.74475,20220503 17:40:05,54.25,5,0.41,2.05,5,0.41,2.05,15
59,645,645.687,10.76145,20220503 17:40:06,54.5,5,0.41,2.05,5,0.8,4.0,16
60,646,646.688,10.7781333333,20220503 17:40:07,54.25,5,0.46,2.3,5,0.74,3.7,17
61,647,647.687,10.7947833333,20220503 17:40:08,54.0,5,0.41,2.05,5,0.49,2.45,18
62,648,648.686,10.8114333333,20220503 17:40:09,54.25,5,0.41,2.05,5,0.41,2.05,19
63,649,649.685,10.8280833333,20220503 17:40:10,54.0,5,0.41,2.05,5,0.81,4.05,20
64,650,650.686,10.8447666667,20220503 17:40:11,54.0,5,0.41,2.05,5,0.78,3.9,21
65,651,651.684,10.8614,20220503 17:40:12,54.25,5,0.41,2.05,5,0.49,2.45,22
66,652,652.685,10.8780833333,20220503 17:40:13,54.5,5,0.41,2.05,5,0.41,2.05,23
67,653,653.687,10.8947833333,20220503 17:40:14,54.0,5,0.41,2.05,5,0.8,4.0,24
68,654,654.685,10.9114166667,20220503 17:40:15,54.0,5,0.41,2.05,5,0.7,3.5,25
69,655,655.689,10.92815,20220503 17:40:16,54.75,5,0.41,2.05,5,0.71,3.55,26
70,656,656.688,10.9448,20220503 17:40:17,55.25,5,0.41,2.05,5,0.44,2.2,27
71,657,657.689,10.9614833333,20220503 17:40:18,55.5,5,0.42,2.1,5,0.81,4.05,28
72,658,658.688,10.9781333333,20220503 17:40:19,55.0,5,0.45,2.25,5,0.8,4.0,29
73,659,659.689,10.9948166667,20220503 17:40:20,55.25,5,0.41,2.05,5,0.5,2.5,30
74,660,660.686,11.0114333333,20220503 17:40:21,56.0,5,0.41,2.05,5,0.41,2.05,31
75,661,661.688,11.0281333333,20220503 17:40:22,55.5,5,0.41,2.05,5,0.79,3.95,32
76,662,662.686,11.0447666667,20220503 17:40:23,55.25,5,0.41,2.05,5,0.64,3.2,33
77,663,663.685,11.0614166667,20220503 17:40:24,55.75,5,0.41,2.05,5,0.71,3.55,34
78,664,664.686,11.0781,20220503 17:40:25,56.0,5,0.41,2.05,5,0.67,3.35,35
79,665,665.689,11.0948166667,20220503 17:40:26,56.25,5,0.41,2.05,5,0.49,2.45,36
80,666,666.687,11.11145,20220503 17:40:27,56.5,5,0.41,2.05,5,0.78,3.9,37
81,667,667.686,11.1281,20220503 17:40:28,56.0,5,0.41,2.05,5,0.79,3.95,38
82,668,668.687,11.1447833333,20220503 17:40:29,56.0,5,0.41,2.05,5,0.67,3.35,39
83,669,669.685,11.1614166667,20220503 17:40:30,56.5,5,0.49,2.45,5,0.75,3.75,40
84,670,670.687,11.1781166667,20220503 17:40:31,57.0,5,0.46,2.3,5,0.52,2.6,41
85,671,671.686,11.1947666667,20220503 17:40:32,57.0,5,0.49,2.45,5,0.47,2.35,42
86,811,811.689,13.52815,20220503 17:42:52,50.25,5,0.41,2.05,5,0.47,2.35,0
87,812,812.689,13.5448166667,20220503 17:42:53,50.25,5,0.6,3.0,5,0.64,3.2,1
88,813,813.685,13.5614166667,20220503 17:42:54,51.0,5,0.56,2.8,5,0.56,2.8,2
89,814,814.684,13.5780666667,20220503 17:42:55,51.5,5,0.51,2.55,5,0.78,3.9,3
90,815,815.687,13.5947833333,20220503 17:42:56,52.0,5,0.41,2.05,5,0.89,4.45,4
91,816,816.684,13.6114,20220503 17:42:57,52.5,5,0.41,2.05,5,0.72,3.6,5
92,817,817.685,13.6280833333,20220503 17:42:58,53.5,5,0.49,2.45,5,0.59,2.95,6
93,818,818.684,13.6447333333,20220503 17:42:59,54.0,5,0.5,2.5,5,0.64,3.2,7
94,819,819.685,13.6614166667,20220503 17:43:00,54.0,5,0.49,2.45,5,0.63,3.15,8
95,820,820.688,13.6781333333,20220503 17:43:01,54.0,5,0.47,2.35,5,0.67,3.35,9
96,821,821.686,13.6947666667,20220503 17:43:02,54.25,5,0.41,2.05,5,0.69,3.45,10
97,822,822.687,13.71145,20220503 17:43:03,54.5,5,0.41,2.05,5,0.41,2.05,11
98,823,823.684,13.7280666667,20220503 17:43:04,55.0,5,0.41,2.05,5,0.43,2.15,12
99,824,824.685,13.74475,20220503 17:43:05,54.25,5,0.41,2.05,5,0.8,4.0,13
100,825,825.686,13.7614333333,20220503 17:43:06,54.25,5,0.47,2.35,5,0.74,3.7,14
101,826,826.687,13.7781166667,20220503 17:43:07,54.75,5,0.41,2.05,5,0.41,2.05,15
102,827,827.689,13.7948166667,20220503 17:43:08,54.75,5,0.41,2.05,5,0.58,2.9,16
103,828,828.688,13.8114666667,20220503 17:43:09,54.25,5,0.42,2.1,5,0.66,3.3,17
104,829,829.686,13.8281,20220503 17:43:10,54.5,5,0.41,2.05,5,0.49,2.45,18
105,830,830.685,13.84475,20220503 17:43:11,55.0,5,0.41,2.05,5,0.41,2.05,19
106,831,831.687,13.86145,20220503 17:43:12,55.0,5,0.41,2.05,5,0.66,3.3,20
107,832,832.685,13.8780833333,20220503 17:43:13,54.5,5,0.45,2.25,5,0.65,3.25,21
108,833,833.686,13.8947666667,20220503 17:43:14,54.75,5,0.41,2.05,5,0.49,2.45,22
109,834,834.684,13.9114,20220503 17:43:15,55.0,5,0.41,2.05,5,0.41,2.05,23
110,835,835.688,13.9281333333,20220503 17:43:16,54.75,5,0.41,2.05,5,0.8,4.0,24
111,836,836.685,13.94475,20220503 17:43:17,55.0,5,0.46,2.3,5,0.78,3.9,25
112,837,837.685,13.9614166667,20220503 17:43:18,55.25,5,0.41,2.05,5,0.69,3.45,26
113,838,838.684,13.9780666667,20220503 17:43:19,55.75,5,0.41,2.05,5,0.49,2.45,27
114,839,839.688,13.9948,20220503 17:43:20,55.75,5,0.41,2.05,5,0.82,4.1,28
115,840,840.685,14.0114166667,20220503 17:43:21,55.25,5,0.45,2.25,5,0.81,4.05,29
116,841,841.689,14.02815,20220503 17:43:22,55.75,5,0.41,2.05,5,0.5,2.5,30
117,842,842.687,14.0447833333,20220503 17:43:23,56.0,5,0.41,2.05,5,0.41,2.05,31
118,843,843.685,14.0614166667,20220503 17:43:24,56.25,5,0.41,2.05,5,0.8,4.0,32
119,844,844.685,14.0780833333,20220503 17:43:25,55.75,5,0.41,2.05,5,0.74,3.7,33
120,845,845.685,14.09475,20220503 17:43:26,55.5,5,0.41,2.05,5,0.66,3.3,34
121,846,846.687,14.11145,20220503 17:43:27,56.25,5,0.42,2.1,5,0.68,3.4,35
122,847,847.688,14.1281333333,20220503 17:43:28,56.5,5,0.41,2.05,5,0.5,2.5,36
123,848,848.687,14.1447833333,20220503 17:43:29,56.5,5,0.41,2.05,5,0.43,2.15,37
124,849,849.686,14.1614333333,20220503 17:43:30,56.25,5,0.41,2.05,5,0.79,3.95,38
125,850,850.687,14.1781166667,20220503 17:43:31,56.0,5,0.41,2.05,5,0.81,4.05,39
126,851,851.686,14.1947666667,20220503 17:43:32,56.5,5,0.41,2.05,5,0.67,3.35,40
127,852,852.688,14.2114666667,20220503 17:43:33,57.0,5,0.49,2.45,5,0.62,3.1,41
128,853,853.689,14.22815,20220503 17:43:34,57.0,5,0.43,2.15,5,0.5,2.5,42
129,993,993.688,16.5614666667,20220503 17:45:54,50.5,5,0.41,2.05,5,0.52,2.6,0
130,994,994.685,16.5780833333,20220503 17:45:55,50.5,5,0.59,2.95,5,0.64,3.2,1
131,995,995.685,16.59475,20220503 17:45:56,50.75,5,0.47,2.35,5,0.71,3.55,2
132,996,996.686,16.6114333333,20220503 17:45:57,51.5,5,0.46,2.3,5,0.73,3.65,3
133,997,997.688,16.6281333333,20220503 17:45:58,51.75,5,0.41,2.05,5,0.8,4.0,4
134,998,998.687,16.6447833333,20220503 17:45:59,52.75,5,0.41,2.05,5,0.73,3.65,5
135,999,999.684,16.6614,20220503 17:46:01,53.5,5,0.62,3.1,5,0.67,3.2,6
136,1000,1001.094,16.6849,20220503 17:46:01,53.75,5,0.49,2.45,5,0.64,3.2,7
137,1001,1001.689,16.6948166667,20220503 17:46:02,54.0,5,0.49,2.45,5,0.65,3.25,8
138,1002,1002.684,16.7114,20220503 17:46:03,54.25,5,0.51,2.55,5,0.83,4.15,9
139,1003,1003.688,16.7281333333,20220503 17:46:04,54.5,5,0.44,2.2,5,0.84,4.2,10
140,1004,1004.689,16.7448166667,20220503 17:46:05,55.0,5,0.41,2.05,5,0.46,2.3,11
141,1005,1005.685,16.7614166667,20220503 17:46:06,55.25,5,0.42,2.1,5,0.41,2.05,12
142,1006,1006.684,16.7780666667,20220503 17:46:07,54.75,5,0.41,2.05,5,0.86,4.3,13
143,1007,1007.685,16.79475,20220503 17:46:08,54.25,5,0.41,2.05,5,0.71,3.55,14
144,1008,1008.685,16.8114166667,20220503 17:46:09,54.75,5,0.41,2.05,5,0.41,2.05,15
145,1009,1009.684,16.8280666667,20220503 17:46:10,54.5,5,0.41,2.05,5,0.45,2.25,16
146,1010,1010.684,16.8447333333,20220503 17:46:11,54.25,5,0.41,2.05,5,0.7,3.5,17
147,1011,1011.687,16.86145,20220503 17:46:12,54.75,5,0.41,2.05,5,0.49,2.45,18
148,1012,1012.688,16.8781333333,20220503 17:46:13,55.0,5,0.41,2.05,5,0.55,2.75,19
149,1013,1013.684,16.8947333333,20220503 17:46:14,54.5,5,0.41,2.05,5,0.82,4.1,20
150,1014,1014.688,16.9114666667,20220503 17:46:15,54.5,5,0.42,2.1,5,0.82,4.1,21
151,1015,1015.687,16.9281166667,20220503 17:46:16,55.0,5,0.41,2.05,5,0.5,2.5,22
152,1016,1016.684,16.9447333333,20220503 17:46:17,55.5,5,0.41,2.05,5,0.41,2.05,23
153,1017,1017.688,16.9614666667,20220503 17:46:18,55.25,5,0.41,2.05,5,0.8,4.0,24
154,1018,1018.687,16.9781166667,20220503 17:46:19,54.75,5,0.43,2.15,5,0.79,3.95,25
155,1019,1019.686,16.9947666667,20220503 17:46:20,55.0,5,0.41,2.05,5,0.65,3.25,26
156,1020,1020.688,17.0114666667,20220503 17:46:21,55.75,5,0.41,2.05,5,0.46,2.3,27
157,1021,1021.684,17.0280666667,20220503 17:46:22,55.75,5,0.41,2.05,5,0.8,4.0,28
158,1022,1022.687,17.0447833333,20220503 17:46:23,55.75,5,0.41,2.05,5,0.86,4.3,29
159,1023,1023.689,17.0614833333,20220503 17:46:24,56.0,5,0.41,2.05,5,0.5,2.5,30
160,1024,1024.688,17.0781333333,20220503 17:46:25,56.5,5,0.41,2.05,5,0.79,3.95,31
161,1025,1025.687,17.0947833333,20220503 17:46:26,56.0,5,0.41,2.05,5,0.8,4.0,32
162,1026,1026.685,17.1114166667,20220503 17:46:27,55.75,5,0.41,2.05,5,0.67,3.35,33
163,1027,1027.685,17.1280833333,20220503 17:46:28,56.5,5,0.45,2.25,5,0.65,3.25,34
164,1028,1028.684,17.1447333333,20220503 17:46:29,56.5,5,0.41,2.05,5,0.8,4.0,35
165,1029,1029.685,17.1614166667,20220503 17:46:30,56.5,5,0.41,2.05,5,0.5,2.5,36
166,1030,1030.684,17.1780666667,20220503 17:46:31,56.75,5,0.41,2.05,5,0.81,4.05,37
167,1031,1031.688,17.1948,20220503 17:46:32,56.25,5,0.41,2.05,5,0.8,4.0,38
168,1032,1032.686,17.2114333333,20220503 17:46:33,56.75,5,0.41,2.05,5,0.62,3.1,39
169,1033,1033.685,17.2280833333,20220503 17:46:34,57.25,5,0.41,2.05,5,0.67,3.35,40
170,1034,1034.685,17.24475,20220503 17:46:35,57.25,5,0.42,2.1,5,0.61,3.05,41
171,1175,1175.684,19.5947333333,20220503 17:48:56,50.75,5,0.44,2.2,5,0.71,3.55,0
172,1176,1176.684,19.6114,20220503 17:48:57,50.75,5,0.53,2.65,5,0.57,2.85,1
173,1177,1177.684,19.6280666667,20220503 17:48:58,51.0,5,0.45,2.25,5,0.51,2.55,2
174,1178,1178.685,19.64475,20220503 17:48:59,51.25,5,0.52,2.6,5,0.6,3.0,3
175,1179,1179.688,19.6614666667,20220503 17:49:00,51.75,5,0.41,2.05,5,0.86,4.3,4
176,1180,1180.687,19.6781166667,20220503 17:49:01,52.5,5,0.41,2.05,5,0.81,4.05,5
177,1181,1181.685,19.69475,20220503 17:49:02,53.25,5,0.46,2.3,5,0.61,3.05,6
178,1182,1182.686,19.7114333333,20220503 17:49:03,54.0,5,0.49,2.45,5,0.49,2.45,7
179,1183,1183.684,19.7280666667,20220503 17:49:04,54.0,5,0.43,2.15,5,0.53,2.65,8
180,1184,1184.689,19.7448166667,20220503 17:49:05,54.0,5,0.46,2.3,5,0.78,3.9,9
181,1185,1185.69,19.7615,20220503 17:49:06,54.25,5,0.47,2.35,5,0.75,3.75,10
182,1186,1186.689,19.77815,20220503 17:49:07,54.75,5,0.42,2.1,5,0.49,2.45,11
183,1187,1187.686,19.7947666667,20220503 17:49:08,55.0,5,0.41,2.05,5,0.58,2.9,12
184,1188,1188.684,19.8114,20220503 17:49:09,54.75,5,0.48,2.4,5,0.65,3.25,13
185,1189,1189.686,19.8281,20220503 17:49:10,54.75,5,0.41,2.05,5,0.66,3.3,14
186,1190,1190.687,19.8447833333,20220503 17:49:11,55.25,5,0.41,2.05,5,0.49,2.45,15
187,1191,1191.685,19.8614166667,20220503 17:49:12,55.25,5,0.41,2.05,5,0.56,2.8,16
188,1192,1192.685,19.8780833333,20220503 17:49:13,55.0,5,0.42,2.1,5,0.66,3.3,17
189,1193,1193.688,19.8948,20220503 17:49:14,54.5,5,0.41,2.05,5,0.5,2.5,18
190,1194,1194.686,19.9114333333,20220503 17:49:15,54.75,5,0.41,2.05,5,0.41,2.05,19
191,1195,1195.685,19.9280833333,20220503 17:49:16,54.75,5,0.41,2.05,5,0.65,3.25,20
192,1196,1196.687,19.9447833333,20220503 17:49:17,54.75,5,0.41,2.05,5,0.69,3.45,21
193,1197,1197.687,19.96145,20220503 17:49:18,55.0,5,0.41,2.05,5,0.41,2.05,22
194,1198,1198.684,19.9780666667,20220503 17:49:19,55.0,5,0.42,2.1,5,0.41,2.05,23
195,1199,1199.687,19.9947833333,20220503 17:49:20,54.75,5,0.41,2.05,5,0.67,3.35,24
196,1200,1200.687,20.01145,20220503 17:49:21,54.75,5,0.41,2.05,5,0.78,3.9,25
197,1201,1201.685,20.0280833333,20220503 17:49:22,55.25,5,0.41,2.05,5,0.57,2.85,26
198,1202,1202.689,20.0448166667,20220503 17:49:23,55.75,5,0.41,2.05,5,0.41,2.05,27
199,1203,1203.689,20.0614833333,20220503 17:49:24,55.75,5,0.41,2.05,5,0.82,4.1,28
200,1204,1204.688,20.0781333333,20220503 17:49:25,55.5,5,0.41,2.05,5,0.83,4.15,29
201,1205,1205.687,20.0947833333,20220503 17:49:26,56.0,5,0.41,2.05,5,0.5,2.5,30
202,1206,1206.689,20.1114833333,20220503 17:49:27,56.25,5,0.41,2.05,5,0.41,2.05,31
203,1207,1207.686,20.1281,20220503 17:49:28,55.75,5,0.41,2.05,5,0.81,4.05,32
204,1208,1208.686,20.1447666667,20220503 17:49:29,55.75,5,0.41,2.05,5,0.64,3.2,33
205,1209,1209.685,20.1614166667,20220503 17:49:30,56.5,5,0.45,2.25,5,0.75,3.75,34
206,1210,1210.684,20.1780666667,20220503 17:49:31,56.5,5,0.41,2.05,5,0.77,3.85,35
207,1211,1211.689,20.1948166667,20220503 17:49:32,56.75,5,0.41,2.05,5,0.5,2.5,36
208,1212,1212.685,20.2114166667,20220503 17:49:33,56.75,5,0.41,2.05,5,0.81,4.05,37
209,1213,1213.688,20.2281333333,20220503 17:49:34,56.5,5,0.41,2.05,5,0.77,3.85,38
210,1214,1214.686,20.2447666667,20220503 17:49:35,56.25,5,0.41,2.05,5,0.73,3.65,39
211,1215,1215.687,20.26145,20220503 17:49:36,57.0,5,0.62,3.1,5,0.81,4.05,40
212,1216,1216.689,20.27815,20220503 17:49:37,57.5,5,0.49,2.45,5,0.57,2.85,41
213,1217,1217.689,20.2948166667,20220503 17:49:38,57.5,5,0.41,2.05,5,0.5,2.5,42
214,1357,1357.684,22.6280666667,20220503 17:51:58,50.5,5,0.41,2.05,5,0.44,2.2,0
215,1358,1358.684,22.6447333333,20220503 17:51:59,50.5,5,0.61,3.05,5,0.65,3.25,1
216,1359,1359.685,22.6614166667,20220503 17:52:00,51.0,5,0.63,3.15,5,0.68,3.4,2
217,1360,1360.686,22.6781,20220503 17:52:01,51.5,5,0.47,2.35,5,0.78,3.9,3
218,1361,1361.688,22.6948,20220503 17:52:02,52.0,5,0.41,2.05,5,0.86,4.3,4
219,1362,1362.688,22.7114666667,20220503 17:52:03,53.0,5,0.41,2.05,5,0.75,3.75,5
220,1363,1363.686,22.7281,20220503 17:52:04,53.5,5,0.49,2.45,5,0.67,3.35,6
221,1364,1364.684,22.7447333333,20220503 17:52:05,54.0,5,0.49,2.45,5,0.64,3.2,7
222,1365,1365.688,22.7614666667,20220503 17:52:06,54.0,5,0.56,2.8,5,0.53,2.65,8
223,1366,1366.687,22.7781166667,20220503 17:52:07,54.25,5,0.46,2.3,5,0.72,3.6,9
224,1367,1367.684,22.7947333333,20220503 17:52:08,54.25,5,0.41,2.05,5,0.8,4.0,10
225,1368,1368.689,22.8114833333,20220503 17:52:09,54.75,5,0.41,2.05,5,0.41,2.05,11
226,1369,1369.686,22.8281,20220503 17:52:10,54.5,5,0.41,2.05,5,0.79,3.95,12
227,1370,1370.684,22.8447333333,20220503 17:52:11,54.5,5,0.47,2.35,5,0.71,3.55,13
228,1371,1371.689,22.8614833333,20220503 17:52:12,54.75,5,0.41,2.05,5,0.5,2.5,14
229,1372,1372.685,22.8780833333,20220503 17:52:13,55.0,5,0.41,2.05,5,0.41,2.05,15
230,1373,1373.685,22.89475,20220503 17:52:14,54.75,5,0.41,2.05,5,0.81,4.05,16
231,1374,1374.687,22.91145,20220503 17:52:15,54.75,5,0.41,2.05,5,0.59,2.95,17
232,1375,1375.688,22.9281333333,20220503 17:52:16,55.0,5,0.41,2.05,5,0.41,2.05,18
233,1376,1376.687,22.9447833333,20220503 17:52:17,55.25,5,0.41,2.05,5,0.78,3.9,19
234,1377,1377.685,22.9614166667,20220503 17:52:18,54.75,5,0.41,2.05,5,0.65,3.25,20
235,1378,1378.689,22.97815,20220503 17:52:19,54.5,5,0.43,2.15,5,0.69,3.45,21
236,1379,1379.685,22.99475,20220503 17:52:20,55.0,5,0.41,2.05,5,0.5,2.5,22
237,1380,1380.689,23.0114833333,20220503 17:52:21,55.25,5,0.43,2.15,5,0.41,2.05,23
238,1381,1381.687,23.0281166667,20220503 17:52:22,54.75,5,0.41,2.05,5,0.8,4.0,24
239,1382,1382.685,23.04475,20220503 17:52:23,55.0,5,0.45,2.25,5,0.66,3.3,25
240,1383,1383.685,23.0614166667,20220503 17:52:24,55.25,5,0.41,2.05,5,0.64,3.2,26
241,1384,1384.685,23.0780833333,20220503 17:52:25,55.75,5,0.41,2.05,5,0.48,2.4,27
242,1385,1385.688,23.0948,20220503 17:52:26,55.75,5,0.41,2.05,5,0.82,4.1,28
243,1386,1386.688,23.1114666667,20220503 17:52:27,55.75,5,0.41,2.05,5,0.73,3.65,29
244,1387,1387.688,23.1281333333,20220503 17:52:28,56.0,5,0.41,2.05,5,0.5,2.5,30
245,1388,1388.689,23.1448166667,20220503 17:52:29,56.5,5,0.41,2.05,5,0.42,2.1,31
246,1389,1389.687,23.16145,20220503 17:52:30,56.25,5,0.41,2.05,5,0.8,4.0,32
247,1390,1390.686,23.1781,20220503 17:52:31,56.0,5,0.41,2.05,5,0.65,3.25,33
248,1391,1391.685,23.19475,20220503 17:52:32,56.75,5,0.45,2.25,5,0.66,3.3,34
249,1392,1392.685,23.2114166667,20220503 17:52:33,56.75,5,0.41,2.05,5,0.81,4.05,35
250,1393,1393.685,23.2280833333,20220503 17:52:34,57.0,5,0.41,2.05,5,0.41,2.05,36
251,1394,1394.689,23.2448166667,20220503 17:52:35,56.75,5,0.41,2.05,5,0.8,4.0,37
252,1395,1395.689,23.2614833333,20220503 17:52:36,56.5,5,0.41,2.05,5,0.76,3.8,38
253,1396,1396.687,23.2781166667,20220503 17:52:37,56.75,5,0.41,2.05,5,0.77,3.85,39
254,1397,1397.684,23.2947333333,20220503 17:52:38,57.0,5,0.41,2.05,5,0.6,3.0,40
255,1398,1398.684,23.3114,20220503 17:52:39,57.5,5,0.41,2.05,5,0.7,3.5,41
256,1539,1539.684,25.6614,20220503 17:55:00,50.75,5,0.41,2.05,5,0.62,3.1,0
257,1540,1540.689,25.67815,20220503 17:55:01,50.5,5,0.49,2.45,5,0.49,2.45,1
258,1541,1541.689,25.6948166667,20220503 17:55:02,50.75,5,0.49,2.45,5,0.49,2.45,2
259,1542,1542.687,25.71145,20220503 17:55:03,51.25,5,0.41,2.05,5,0.8,4.0,3
260,1543,1543.687,25.7281166667,20220503 17:55:04,51.75,5,0.41,2.05,5,0.8,4.0,4
261,1544,1544.688,25.7448,20220503 17:55:05,53.25,5,0.41,2.05,5,0.68,3.4,5
262,1545,1545.686,25.7614333333,20220503 17:55:06,53.75,5,0.5,2.5,5,0.57,2.85,6
263,1546,1546.685,25.7780833333,20220503 17:55:07,54.0,5,0.49,2.45,5,0.55,2.75,7
264,1547,1547.686,25.7947666667,20220503 17:55:08,54.0,5,0.49,2.45,5,0.68,3.4,8
265,1548,1548.684,25.8114,20220503 17:55:09,54.25,5,0.46,2.3,5,0.65,3.25,9
266,1549,1549.687,25.8281166667,20220503 17:55:10,54.25,5,0.43,2.15,5,0.5,2.5,10
267,1550,1550.684,25.8447333333,20220503 17:55:11,55.0,5,0.41,2.05,5,0.41,2.05,11
268,1551,1551.687,25.86145,20220503 17:55:12,55.0,5,0.41,2.05,5,0.82,4.1,12
269,1552,1552.685,25.8780833333,20220503 17:55:13,54.5,5,0.41,2.05,5,0.83,4.15,13
